"","Station","date","year","month","day","julian_day","nitrate","amo","srp","flow","width","velocity","depth"
"64","abf",1989-12-12,1989,12,12,346,0.56,0.03,0.029,4.9,22.63,0.56,0.39
"65","abf",1990-01-17,1990,1,17,17,0.54,0.05,0.032,6.6,23.05,0.65,0.46
"66","abf",1990-02-06,1990,2,6,37,0.49,0.02,0.022,5,22.67,0.57,0.4
"67","abf",1990-03-13,1990,3,13,72,0.37,0.01,0.016,6.1,22.94,0.62,0.44
"68","abf",1990-04-10,1990,4,10,100,0.21,0.01,0.018,6.7,23.06,0.65,0.46
"69","abf",1990-04-25,1990,4,25,115,0.2,0.04,0.031,10.4,23.7,0.82,0.57
"70","abf",1990-05-09,1990,5,9,129,0.17,0.02,0.026,6.3,23,0.64,0.45
"71","abf",1990-05-22,1990,5,22,142,0.07,0.01,0.025,5,22.65,0.56,0.4
"72","abf",1990-06-06,1990,6,6,157,0.14,0.03,0.057,9.6,23.59,0.79,0.55
"73","abf",1990-06-20,1990,6,20,171,0.05,0.005,0.034,9,23.49,0.76,0.53
"74","abf",1990-07-18,1990,7,18,199,0.03,0.005,0.068,2.1,21.5,0.36,0.26
"75","abf",1990-08-07,1990,8,7,219,0.005,0.005,0.047,1.4,20.92,0.29,0.21
"76","abf",1990-09-11,1990,9,11,254,0.005,0.005,0.012,4.1,22.39,0.51,0.36
"77","abf",1990-10-17,1990,10,17,290,0.07,0.005,0.006,6.2,22.96,0.63,0.44
"78","abf",1990-11-15,1990,11,15,319,0.2,0.005,0.006,6.3,22.99,0.64,0.45
"79","abf",1991-01-16,1991,1,16,16,0.5,0.08,0.032,5.7,22.84,0.6,0.42
"80","abf",1991-02-13,1991,2,13,44,0.54,0.11,0.029,5.7,22.84,0.6,0.42
"81","abf",1991-03-14,1991,3,14,73,0.32,0.005,0.012,6.1,22.95,0.63,0.44
"82","abf",1991-04-09,1991,4,9,99,0.28,0.005,0.006,6.2,22.97,0.63,0.44
"83","abf",1991-04-24,1991,4,24,114,0.12,0.005,0.001,5.2,22.73,0.58,0.41
"84","abf",1991-05-15,1991,5,15,135,0.2,0.005,0.008,7.2,23.17,0.68,0.48
"85","abf",1991-05-30,1991,5,30,150,0.14,0.005,0.03,10.6,23.73,0.83,0.57
"86","abf",1991-06-12,1991,6,12,163,0.08,0.02,0.034,19.8,24.67,1.16,0.78
"87","abf",1991-06-25,1991,6,25,176,0.09,0.005,0.032,12.5,23.98,0.91,0.62
"88","abf",1991-07-17,1991,7,17,198,0.005,0.005,0.021,3.6,22.22,0.48,0.34
"89","abf",1991-08-14,1991,8,14,226,0.005,0.005,0.038,1.2,20.76,0.27,0.2
"90","abf",1991-09-17,1991,9,17,260,0.01,0.005,0.009,3.5,22.17,0.47,0.34
"91","abf",1991-10-22,1991,10,22,295,0.03,0.005,0.004,5.3,22.75,0.58,0.41
"92","abf",1991-11-19,1991,11,19,323,0.27,0.005,0.012,6.4,23,0.64,0.45
"93","abf",1991-12-17,1991,12,17,351,0.53,0.03,0.018,4.4,22.5,0.53,0.38
"94","abf",1992-01-14,1992,1,14,14,0.42,0.03,0.013,5.2,22.71,0.57,0.41
"95","abf",1992-02-11,1992,2,11,42,0.4,0.02,0.011,6.2,22.96,0.63,0.44
"96","abf",1992-03-10,1992,3,10,70,0.3,0.01,0.008,6.2,22.97,0.63,0.44
"97","abf",1992-04-07,1992,4,7,98,0.14,0.02,0.01,5.9,22.89,0.61,0.43
"98","abf",1992-04-21,1992,4,21,112,0.04,0.005,0.004,5.1,22.7,0.57,0.4
"99","abf",1992-05-05,1992,5,5,126,0.03,0.005,0.006,5.3,22.74,0.58,0.41
"100","abf",1992-05-19,1992,5,19,140,0.02,0.005,0.013,0.9,20.42,0.23,0.18
"101","abf",1992-06-09,1992,6,9,161,0.005,0.005,0.048,0.8,20.31,0.22,0.17
"102","abf",1992-07-14,1992,7,14,196,0.005,0.005,0.018,4.4,22.47,0.52,0.37
"103","abf",1992-08-11,1992,8,11,224,0.02,0.005,0.011,1.1,20.65,0.26,0.19
"104","abf",1992-09-14,1992,9,14,258,0.01,0.005,0.009,3.4,22.13,0.46,0.33
"105","abf",1992-10-19,1992,10,19,293,0.005,0.02,0.003,4.4,22.48,0.53,0.37
"106","abf",1992-11-16,1992,11,16,321,0.16,0.005,0.006,5.2,22.73,0.58,0.41
"107","abf",1992-12-14,1992,12,14,349,0.46,0.05,0.018,3.7,22.24,0.48,0.34
"108","abf",1993-03-15,1993,3,15,74,0.52,0.07,0.023,7.4,23.21,0.69,0.48
"109","abf",1993-04-07,1993,4,7,97,0.29,0.01,0.005,6.8,23.1,0.66,0.46
"110","abf",1993-04-19,1993,4,19,109,0.18,0.02,0.014,7.1,23.15,0.68,0.47
"111","abf",1993-05-05,1993,5,5,125,0.16,0.005,0.009,9.1,23.51,0.77,0.53
"112","abf",1993-05-18,1993,5,18,138,0.16,0.04,0.023,18.4,24.55,1.11,0.75
"113","abf",1993-06-14,1993,6,14,165,0.1,0.005,0.03,12.7,24,0.92,0.63
"114","abf",1993-08-17,1993,8,17,229,0.1,0.005,0.027,9.9,23.64,0.81,0.56
"115","abf",1993-11-15,1993,11,15,319,0.24,0.01,0.002,8.6,23.42,0.75,0.52
"116","abf",1994-02-14,1994,2,14,45,0.44,0.04,0.011,6.3,22.98,0.63,0.44
"117","abf",1994-05-16,1994,5,16,136,0.12,0.01,0.027,9.7,23.6,0.8,0.55
"118","abf",1995-02-14,1995,2,14,45,0.53,0.07,0.015,3.8,22.28,0.49,0.35
"119","abf",1995-08-16,1995,8,16,228,0.02,0.01,0.009,3,21.95,0.43,0.31
"120","abf",1995-12-20,1995,12,20,354,0.45,0.06,0.01,6.5,23.02,0.64,0.45
"121","abf",1996-02-26,1996,2,26,57,0.48,0.09,0.017,6.1,22.95,0.63,0.44
"122","abf",1996-05-13,1996,5,13,134,0.09,0.01,0.004,14,24.14,0.96,0.66
"123","abf",1998-06-10,1998,6,10,161,0.005,0.005,0.011,10.7,23.75,0.84,0.58
"124","abf",1998-07-02,1998,7,2,183,0.06,0.005,0.024,21.4,24.78,1.2,0.81
"125","abf",1998-07-06,1998,7,6,187,0.05,0.005,0.034,24.9,25.01,1.3,0.87
"126","abf",1998-07-15,1998,7,15,196,0.005,0.005,0.031,13.7,24.11,0.95,0.65
"127","abf",1998-08-05,1998,8,5,217,0.005,0.01,0.03,4.6,22.55,0.54,0.38
"128","abf",1998-08-09,1998,8,9,221,0.005,0.005,0.051,4.2,22.41,0.51,0.36
"129","abf",1998-08-20,1998,8,20,232,0.005,0.005,0.011,2.8,21.84,0.41,0.3
"130","abf",1998-08-20,1998,8,20,232,0.005,0.005,0.009,2.8,21.84,0.41,0.3
"131","abf",1998-09-03,1998,9,3,246,0.005,0.005,0.005,3.5,22.16,0.47,0.33
"132","abf",1998-09-08,1998,9,8,251,0.005,0.005,0.007,3.5,22.17,0.47,0.34
"133","abf",1998-09-16,1998,9,16,259,0.005,0.005,0.006,4.6,22.55,0.54,0.38
"134","abf",1998-10-05,1998,10,5,278,0.05,0.005,0.012,8.1,23.35,0.72,0.5
"135","abf",1998-11-16,1998,11,16,320,0.17,0.005,0.007,9,23.5,0.77,0.53
"136","abf",1998-12-14,1998,12,14,348,0.37,0.005,0.009,8,23.33,0.72,0.5
"137","abf",1999-01-25,1999,1,25,25,0.42,0.01,0.024,7,23.14,0.67,0.47
"138","abf",1999-03-01,1999,3,1,60,0.21,0.005,0.005,8.5,23.42,0.74,0.52
"139","abf",1999-04-05,1999,4,5,95,0.22,0.005,0.006,7.3,23.19,0.69,0.48
"140","abf",1999-05-03,1999,5,3,123,0.005,0.005,0.002,8.9,23.47,0.76,0.53
"141","abf",1999-05-24,1999,5,24,144,0.08,0.005,0.013,10.1,23.66,0.81,0.56
"142","abf",1999-06-14,1999,6,14,165,0.12,0.02,0.021,11.8,23.89,0.88,0.6
"143","abf",1999-07-08,1999,7,8,189,0.005,0.01,0.008,6.7,23.06,0.65,0.46
"144","abf",1999-07-12,1999,7,12,193,0.005,0.01,0.014,5.4,22.76,0.58,0.41
"145","abf",1999-07-22,1999,7,22,203,0.16,0.005,0.016,3,21.98,0.43,0.31
"146","abf",1999-08-12,1999,8,12,224,0.05,0.02,0.029,3.6,22.2,0.47,0.34
"147","abf",1999-08-16,1999,8,16,228,0.08,0.02,0.033,3.5,22.16,0.47,0.33
"148","abf",1999-08-26,1999,8,26,238,0.01,0.005,0.021,3.2,22.06,0.45,0.32
"149","abf",1999-09-09,1999,9,9,252,0.005,0.005,0.008,5.1,22.7,0.57,0.4
"150","abf",1999-09-16,1999,9,16,259,0.005,0.005,0.008,4.7,22.57,0.54,0.39
"151","abf",1999-09-21,1999,9,21,264,0.005,0.005,0.006,5,22.67,0.57,0.4
"152","abf",1999-10-18,1999,10,18,291,0.12,0.15,0.004,6.8,23.1,0.66,0.46
"153","abf",1999-11-16,1999,11,16,320,0.25,0.005,0.003,6.5,23.03,0.65,0.45
"154","abf",1999-12-13,1999,12,13,347,0.39,0.02,0.008,7.2,23.17,0.68,0.48
"155","abf",2000-01-25,2000,1,25,25,0.55,0.04,0.003,6.5,23.04,0.65,0.45
"156","abf",2000-02-29,2000,2,29,60,0.33,0.03,0.006,7.1,23.16,0.68,0.47
"157","abf",2000-03-27,2000,3,27,87,0.24,0.03,0.01,6.1,22.95,0.63,0.44
"158","abf",2000-05-02,2000,5,2,123,0.01,0.01,0.014,4.4,22.48,0.53,0.37
"159","abf",2000-05-21,2000,5,21,142,0.005,0.03,0.011,3.2,22.05,0.45,0.32
"160","abf",2000-06-11,2000,6,11,163,0.005,0.01,0.016,4,22.35,0.5,0.36
"161","abf",2000-07-12,2000,7,12,194,0.007,0.032,0.02,1,20.59,0.25,0.19
"162","abf",2000-07-17,2000,7,17,199,0.005,0.04,0.031,1.2,20.72,0.26,0.2
"163","abf",2000-07-26,2000,7,26,208,0.004,0.027,0.019,0.5,19.58,0.16,0.13
"164","abf",2000-08-14,2000,8,14,227,0.005,0.005,0.019,1.3,20.86,0.28,0.21
"165","abf",2000-08-16,2000,8,16,229,0.003,0.016,0.015,0.8,20.23,0.22,0.16
"166","abf",2000-08-30,2000,8,30,243,0.005,0.025,0.01,1.1,20.7,0.26,0.2
"167","abf",2000-09-06,2000,9,6,250,0.082,0.03,0.012,2.8,21.87,0.42,0.3
"168","abf",2000-09-12,2000,9,12,256,0.005,0.06,0.008,3.3,22.08,0.45,0.33
"169","abf",2000-09-20,2000,9,20,264,0.014,0.01,0.01,3.1,22,0.44,0.32
"170","abf",2000-10-12,2000,10,12,286,0.154,0.034,0.005,5.8,22.88,0.61,0.43
"171","abf",2000-10-16,2000,10,16,290,0.11,0.06,0.012,5.8,22.87,0.61,0.43
"172","abf",2000-11-02,2000,11,2,307,0.191,0.024,0.003,5.8,22.88,0.61,0.43
"173","abf",2000-11-20,2000,11,20,325,0.38,0.01,0.011,5.7,22.85,0.6,0.43
"174","abf",2000-12-06,2000,12,6,341,0.421,0.037,0.011,6,22.92,0.62,0.44
"175","abf",2000-12-20,2000,12,20,355,0.48,0.05,0.009,4.1,22.38,0.51,0.36
"176","abf",2001-01-11,2001,1,11,11,0.471,0.072,0.016,5.3,22.74,0.58,0.41
"177","abf",2001-01-30,2001,1,30,30,0.55,0.06,0.014,5,22.66,0.56,0.4
"178","abf",2001-02-08,2001,2,8,39,0.551,0.086,0.019,4.7,22.57,0.54,0.39
"179","abf",2001-02-08,2001,2,8,39,0.578,0.083,0.019,4.7,22.57,0.54,0.39
"180","abf",2001-02-28,2001,2,28,59,0.558,0.1,0.015,4.8,22.61,0.55,0.39
"181","abf",2001-03-29,2001,3,29,88,NA,0.038,0.017,7,23.13,0.67,0.47
"182","abf",2001-04-03,2001,4,3,93,0.302,0.01,0.008,6.6,23.05,0.65,0.46
"183","abf",2001-04-23,2001,4,23,113,0.047,0.02,0.004,5.7,22.84,0.6,0.42
"184","abf",2001-04-26,2001,4,26,116,0.032,0.028,0.005,5.4,22.78,0.59,0.42
"185","abf",2001-05-22,2001,5,22,142,0.003,0.005,0.007,3.6,22.22,0.48,0.34
"186","abf",2001-05-31,2001,5,31,151,0.002,0.009,0.015,3.9,22.33,0.5,0.36
"187","abf",2001-06-18,2001,6,18,169,0.003,0.005,0.036,5.2,22.7,0.57,0.4
"188","abf",2001-06-28,2001,6,28,179,0.002,0.008,0.064,2.7,21.8,0.41,0.29
"189","abf",2001-07-11,2001,7,11,192,0.002,0.008,0.045,2,21.43,0.35,0.26
"190","abf",2001-07-11,2001,7,11,192,0.003,0.009,0.045,2,21.43,0.35,0.26
"191","abf",2001-07-17,2001,7,17,198,0.003,0.01,0.055,3.2,22.05,0.45,0.32
"192","abf",2001-07-17,2001,7,17,198,0.003,0.01,0.054,3.2,22.05,0.45,0.32
"193","abf",2001-07-25,2001,7,25,206,0.002,0.015,0.032,3.5,22.16,0.47,0.33
"194","abf",2001-08-08,2001,8,8,220,0.001,0.012,0.017,1.4,20.92,0.29,0.21
"195","abf",2001-08-20,2001,8,20,232,0.003,0.04,0.009,1.4,20.92,0.29,0.21
"196","abf",2001-08-22,2001,8,22,234,0.002,0.006,0.013,1.3,20.89,0.28,0.21
"197","abf",2001-09-05,2001,9,5,248,0.004,0.02,0.014,1.7,21.18,0.32,0.23
"198","abf",2001-09-19,2001,9,19,262,0.003,0.014,0.01,3.9,22.31,0.49,0.35
"199","abf",2001-09-19,2001,9,19,262,0.005,0.018,0.01,3.9,22.31,0.49,0.35
"200","abf",2001-09-24,2001,9,24,267,0.009,0.005,0.007,3.4,22.14,0.46,0.33
"201","abf",2001-10-17,2001,10,17,290,0.062,0.012,0.004,4.9,22.63,0.56,0.39
"202","abf",2001-10-23,2001,10,23,296,0.043,0.005,0.002,5,22.65,0.56,0.4
"203","abf",2001-11-08,2001,11,8,312,0.109,0.015,0.005,5.1,22.68,0.57,0.4
"204","abf",2001-11-18,2001,11,18,322,0.156,0.01,0.005,5.2,22.72,0.58,0.41
"205","abf",2001-12-18,2001,12,18,352,0.405,0.05,0.013,5.1,22.69,0.57,0.4
"206","abf",2002-01-28,2002,1,28,28,0.42,0.05,0.013,5,22.67,0.57,0.4
